run_name,models_dir,cycle_id,cycle_idx,behavior,beh_idx,step_idx,layer_idx,cluster_rank,cluster_size_neurons,cluster_size_families,mean_activation_stability,mean_connectivity_stability,mean_self_score,n_units,n_alive_units,n_families,dead_units,K_best,states_path,n_states_sampled,sens_tag,sens_k_min,sens_k_max,sens_alpha_small_k
WSJ_att69_relu_3_2026-01-30_23-24-53,/Users/adi/Desktop/Robustness/WSJ_att69_relu_3_2026-01-30_23-24-53/models,c001,0,walk,0,0,0,1,73,73,0.635277509689331,0.6805949807167053,0.6579362750053406,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0,2,10,0.0
WSJ_att69_relu_3_2026-01-30_23-24-53,/Users/adi/Desktop/Robustness/WSJ_att69_relu_3_2026-01-30_23-24-53/models,c001,0,walk,0,0,0,2,27,27,0.5672972202301025,0.5795892477035522,0.5734432339668274,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0,2,10,0.0
WSJ_att69_relu_3_2026-01-30_23-24-53,/Users/adi/Desktop/Robustness/WSJ_att69_relu_3_2026-01-30_23-24-53/models,c001,0,walk,0,0,0,3,19,19,0.5758249759674072,0.5950157642364502,0.5854204297065735,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0,2,10,0.0
WSJ_att69_relu_3_2026-01-30_23-24-53,/Users/adi/Desktop/Robustness/WSJ_att69_relu_3_2026-01-30_23-24-53/models,c001,0,walk,0,0,0,4,16,16,0.5688539743423462,0.5809500217437744,0.5749020576477051,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0,2,10,0.0
WSJ_att69_relu_3_2026-01-30_23-24-53,/Users/adi/Desktop/Robustness/WSJ_att69_relu_3_2026-01-30_23-24-53/models,c001,0,walk,0,0,0,5,8,8,0.5526803731918335,0.48137184977531433,0.5170260667800903,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0,2,10,0.0
WSJ_att69_relu_3_2026-01-30_23-24-53,/Users/adi/Desktop/Robustness/WSJ_att69_relu_3_2026-01-30_23-24-53/models,c001,0,walk,0,0,0,6,2,2,0.27010709047317505,0.46078577637672424,0.36544641852378845,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0,2,10,0.0
WSJ_att69_relu_3_2026-01-30_23-24-53,/Users/adi/Desktop/Robustness/WSJ_att69_relu_3_2026-01-30_23-24-53/models,c001,0,walk,0,0,0,7,2,2,0.4797704219818115,0.5157651901245117,0.4977678060531616,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0,2,10,0.0
WSJ_att69_relu_3_2026-01-30_23-24-53,/Users/adi/Desktop/Robustness/WSJ_att69_relu_3_2026-01-30_23-24-53/models,c001,0,walk,0,0,0,8,1,1,0.6702286005020142,0.4599342346191406,0.5650814175605774,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0,2,10,0.0
WSJ_att69_relu_3_2026-01-30_23-24-53,/Users/adi/Desktop/Robustness/WSJ_att69_relu_3_2026-01-30_23-24-53/models,c001,0,walk,0,0,0,9,1,1,0.5943081974983215,0.4973158836364746,0.5458120107650757,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0,2,10,0.0
WSJ_att69_relu_3_2026-01-30_23-24-53,/Users/adi/Desktop/Robustness/WSJ_att69_relu_3_2026-01-30_23-24-53/models,c001,0,walk,0,0,0,10,1,1,0.3050662875175476,0.2702888250350952,0.2876775562763214,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0,2,10,0.0
WSJ_att69_relu_3_2026-01-30_23-24-53,/Users/adi/Desktop/Robustness/WSJ_att69_relu_3_2026-01-30_23-24-53/models,c001,0,jump,1,1,0,1,80,80,0.6314311027526855,0.6582222580909729,0.6448267102241516,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0,2,10,0.0
WSJ_att69_relu_3_2026-01-30_23-24-53,/Users/adi/Desktop/Robustness/WSJ_att69_relu_3_2026-01-30_23-24-53/models,c001,0,jump,1,1,0,2,26,26,0.584346354007721,0.6215381622314453,0.6029422283172607,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0,2,10,0.0
WSJ_att69_relu_3_2026-01-30_23-24-53,/Users/adi/Desktop/Robustness/WSJ_att69_relu_3_2026-01-30_23-24-53/models,c001,0,jump,1,1,0,3,17,17,0.5923126339912415,0.6286039352416992,0.610458254814148,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0,2,10,0.0
WSJ_att69_relu_3_2026-01-30_23-24-53,/Users/adi/Desktop/Robustness/WSJ_att69_relu_3_2026-01-30_23-24-53/models,c001,0,jump,1,1,0,4,13,13,0.49458056688308716,0.5053122043609619,0.49994632601737976,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0,2,10,0.0
WSJ_att69_relu_3_2026-01-30_23-24-53,/Users/adi/Desktop/Robustness/WSJ_att69_relu_3_2026-01-30_23-24-53/models,c001,0,jump,1,1,0,5,6,6,0.49978697299957275,0.4540763795375824,0.4769316613674164,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0,2,10,0.0
WSJ_att69_relu_3_2026-01-30_23-24-53,/Users/adi/Desktop/Robustness/WSJ_att69_relu_3_2026-01-30_23-24-53/models,c001,0,jump,1,1,0,6,3,3,0.569710910320282,0.48507580161094666,0.5273934006690979,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0,2,10,0.0
